"QuestionID","AlgorithmID","QuestionOrder","DateCreated","LastUpDate","Question","DispositionLevel","Information","SMAG_LINK_ID","CMS_NEW","Gender","Min_Age_Days","Max_Age_Days","TelemedicineEligible"
"158","12","3","2000-04-27 14:58:20","2014-09-21 00:00:00","Followed an abdomen (stomach) injury","99","Go to Guideline: Abdominal Injury (Adult)","96","False","B","0","43800","False"
"160","12","3","2000-04-27 15:01:52","2011-10-30 00:00:00","Passed out (i.e., lost consciousness, collapsed and was not responding)","100","R/O: shock.  FIRST AID: Lie down with the feet elevated.","","False","B","0","43800","False"
"162","12","3","2000-04-27 15:02:58","2012-12-14 14:37:11","[1] Vomiting AND [2] contains red blood or black (""coffee ground"") material 
 (Exception: few red streaks in vomit that only happened once)","90","R/O: gastritis, peptic ulcer disease, Mallory-Weiss tear","","False","B","0","43800","False"
"163","12","1","2000-04-27 15:03:16","2004-12-04 07:38:14","[1] SEVERE pain (e.g., excruciating) AND [2] present > 1 hour","90","R/O: appendicitis or other acute abdomen","","False","B","0","43800","False"
"164","12","1","2000-04-27 15:03:24","2005-01-18 13:19:29","[1] MILD-MODERATE pain AND [2] constant AND [3] present > 2 hours","80","R/O: appendicitis or other acute abdomen","","False","B","0","43800","False"
"165","12","12","2000-04-27 15:05:52","2021-12-29 00:00:00","Patient sounds very sick or weak to the triager","85","Reason: Severe acute illness or serious complication suspected.","","False","B","0","43800","False"
"167","12","5","2000-04-27 15:12:05","2001-03-02 16:04:49","Fever > 103 F (39.4 C)","80"," ","","False","B","0","43800","False"
"168","12","11","2000-04-27 15:14:20","2004-11-28 17:13:31","[1] Pain in the scrotum or testicle AND [2] present > 1 hour","85","R/O: testicular torsion, kidney stone","","False","B","0","43800","False"
"376","12","8","2000-05-05 17:15:22","2019-02-28 00:00:00","[1] Fever > 100.0 F (37.8 C) AND [2] diabetes mellitus or weak immune system (e.g., HIV positive, cancer chemo, splenectomy, organ transplant, chronic steroids)","80"," ","","False","B","0","43800","False"
"377","12","7","2000-05-05 17:15:24","2017-02-02 00:00:00","[1] Fever > 100.0 F (37.8 C) AND [2] bedridden (e.g., nursing home patient, CVA, chronic illness, recovering from surgery)","80","Reason: higher risk of bacterial infection","","False","B","0","43800","False"
"378","12","6","2000-05-05 17:15:24","2021-01-24 00:00:00","[1] Fever > 101 F (38.3 C) AND [2] age > 60 years","80"," ","","False","B","0","43800","False"
"381","12","3","2000-05-05 17:17:45","2013-06-15 00:00:00","[1] Vomiting AND [2] contains bile (green color)","80","R/O: intestinal obstruction","","False","B","0","43800","False"
"384","12","1","2000-05-05 17:19:07","2012-02-25 17:10:05","Abdominal pain is a chronic symptom (recurrent or ongoing AND present > 4 weeks)","20","R/O: irritable bowel syndrome","","False","B","0","43800","False"
"390","12","4","2000-05-05 17:43:52","2001-03-02 16:05:21","White of the eyes have turned yellow (i.e., jaundice)","80","R/O: cholelithiasis, hepatitis","","False","B","0","43800","False"
"392","12","2","2000-05-05 17:46:09","2004-11-28 16:21:32","Pain is mainly in upper abdomen  (if needed ask: ""is it mainly above the belly button?"")","99","Go to Guideline: Abdominal Pain - Upper (Adult)","28","False","B","0","43800","False"
"394","12","3","2001-04-16 00:00:00","2008-07-12 00:00:00","Age > 60 years","70","Reason: higher risk of serious cause of abdominal pain","","False","B","21915","43800","False"
"395","12","6","2000-05-05 20:39:43","2018-05-01 13:05:42","[1] Unable to urinate (or only a few drops) > 4 hours AND [2] bladder feels very full (e.g., palpable bladder or strong urge to urinate)","90","R/O: urinary retention","","False","B","0","43800","False"
